Mineral,Density,Hardness,H,He,Li,Be,B,C,N,O,F,Ne,Na,Mg,Al,Si,P,S,Cl,Ar,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Kr,Rb,Sr,Y,Zr,Nb,Mo,Tc,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Xe,Cs,Ba,La,Ce,Pr,Nd,Pm,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Po,At,Rn,Fr,Ra,Ac,Th,Pa,U,Np,Pu,Am,Cm,Bk,Cf,Es,Fm,Md,No,Lr,Rf,Db,Sg,Bh,Hs,Mt,Ds,Rg,Cn,Nh,Fl,Mc,Lv,Ts,Og
Metarauchite,,,1.58,,,,,,,31.35,,,,,,,,,,,,,,,,,,,,5.75,,,,,14.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.64,,,,,,,,,,,,,,,,,,,,,,,,,,
Metarossite,2.45,1.5,1.47,,,,,,,46.72,,,,,,,,,,,,14.63,,,37.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metaschoderite,1.88,2.0,3.25,,,,,,,60.22,,,,,14.51,,8.33,,,,,,,,13.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metaschoepite,4.69,2.5,0.97,,,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.04,,,,,,,,,,,,,,,,,,,,,,,,,,
Metasideronatrite,2.68,2.0,0.92,,,,,,,48.63,,,13.98,,,,,19.49,,,,,,,,,,16.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metastibnite,,2.5,,,,,,,,,,,,,,,,28.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metastudtite,4.67,,1.19,,,,,,,28.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.41,,,,,,,,,,,,,,,,,,,,,,,,,,
Metaswitzerite,2.95,2.5,1.89,,,,,,,44.98,,,,,,,14.51,,,,,,,,,,38.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metatorbernite,3.75,2.5,1.72,,,,,,,34.13,,,,,,,6.61,,,,,,,,,,,,,,6.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.77,,,,,,,,,,,,,,,,,,,,,,,,,,
Metatyuyamunite,3.84,2.0,0.7,,,,,,,27.77,,,,,,,,,,,,4.64,,,11.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.1,,,,,,,,,,,,,,,,,,,,,,,,,,
Metauranocircite,3.95,2.25,1.42,,,,,,,30.6,,,,,,,6.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.92,,,,,,,,,,,,,,,,,,,,,,,,,,
Metauranopilite,,,1.02,,,,,,,25.1,,,,,,,,1.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.26,,,,,,,,,,,,,,,,,,,,,,,,,,
Metauranospinite,,2.5,1.61,,,,,,,31.93,,,,,,,,,,,,4.0,,,,,,,,,,,,,14.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.51,,,,,,,,,,,,,,,,,,,,,,,,,,
Metavandendriesscheite,5.45,3.0,0.84,,,,,,,21.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.61,,,,,,,,,,69.27,,,,,,,,,,,,,,,,,,,,,,,,,,
Metavanmeersscheite,4.49,2.5,0.73,,,,,,,25.58,,,,,,,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.19,,,,,,,,,,,,,,,,,,,,,,,,,,
Metavanuralite,3.6,2.0,1.79,,,,,,,35.07,,,,,2.82,,,,,,,,,,10.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.69,,,,,,,,,,,,,,,,,,,,,,,,,,
Metavariscite,2.54,3.5,2.55,,,,,,,60.76,,,,,17.08,,19.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metavauxite,2.345,3.0,3.8,,,,,,,60.26,,,,,11.29,,12.96,,,,,,,,,,,11.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metavivianite,2.69,1.75,3.12,,,,,,,51.09,,,,,,,12.36,,,,,,,,,,,33.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metavoltine,2.5,2.5,1.84,,,,,,,51.16,,,4.2,,,,,17.58,,,7.14,,,,,,,16.58,,,,1.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metazellerite,3.414,2.0,1.25,,,,,4.96,,36.35,,,,,,,,,,,,8.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.16,,,,,,,,,,,,,,,,,,,,,,,,,,
Metazeunerite,3.64,2.25,1.57,,,,,,,31.2,,,,,,,,,,,,,,,,,,,,,6.2,,,,14.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.42,,,,,,,,,,,,,,,,,,,,,,,,,,
Methane hydrate-H,0.95,2.5,13.18,,,,,15.7,,71.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Methane hydrate-I,0.95,2.5,13.06,,,,,10.04,,76.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Methane hydrate-II,0.95,2.5,13.13,,,,,13.04,,73.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meurigite-K,2.96,3.0,1.82,,,,,0.2,,47.72,,,0.05,,0.36,,13.49,,,,2.83,,,,,,,33.37,,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meurigite-Na,2.94,3.0,1.68,,,,,,,48.42,,,1.6,0.02,2.87,,14.4,,,,0.28,0.16,,,0.49,,,29.88,,,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meyerhofferite,2.12,2.0,3.16,,,,14.51,,,64.41,,,,,,,,,,,,17.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meymacite,4.01,,1.51,,,,,,,29.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mgriite,,4.75,,,,,,,,,,,,,,,,,,,,,,,,,,8.43,,,28.79,,,,15.08,47.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miargyrite,5.19,2.25,,,,,,,,,,,,,,,,21.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.72,,,,41.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miassite,,5.75,,,,,,,,,,,,,,,,21.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Micheelsenite,2.15,3.75,4.64,,,,,2.16,,58.53,,,,,3.64,,3.25,,,,,12.02,,,,,,,,,,,,,,,,,,,13.33,,,,,,,,,,,,,,,,,,,,,,,,,,,2.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michenerite,9.5,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.16,,,,,,27.43,,,,,,,,,,,,,,,,,,,,,,,,,,10.48,,,,,44.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microcline,2.56,6.0,,,,,,,,45.99,,,,,9.69,30.27,,,,,14.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microline,2.56,6.0,,,,,,,,45.99,,,,,9.69,30.27,,,,,14.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microlite,5.3,5.25,0.06,,,,,,,20.87,0.36,,6.52,,,,,,,,,3.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microsommite,2.47,6.0,,,,,,,,37.99,,,8.89,,16.14,14.22,,2.07,7.5,,3.24,9.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middendorfite,2.6,3.25,0.87,,,,,,,42.89,0.23,,3.38,0.1,0.11,23.82,,,,,8.44,0.09,,0.1,,,19.31,0.52,,,,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miersite,5.64,2.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.1,,,,,,,,,,,,,,,,,,36.17,,,,,,56.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miessiite,,2.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.44,,,,,,,,,,,,73.78,,,,,,16.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miharaite,6.06,4.0,,,,,,,,,,,,,,,,20.94,,,,,,,,,,6.08,,,27.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.56,22.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mikasaite,3.06,2.0,,,,,,,,48.01,,,,,,,,24.06,,,,,,,,,,27.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Milarite,2.52,6.0,0.1,,,1.82,,,,49.28,,,,,2.72,34.03,,,,,3.95,8.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Millerite,5.5,3.25,,,,,,,,,,,,,,,,35.33,,,,,,,,,,,,64.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Millisite,2.83,5.5,1.85,,,,,,,54.9,,,2.11,,19.84,,15.18,,,,1.2,4.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Millosevichite,2.86,1.5,,,,,,,,53.84,,,,,11.35,,,26.98,,,,,,,,,,7.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Milotaite,8.09,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.84,,,,,26.48,,,,,,,,,,,,34.29,0.35,,,,38.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mimetite,,,,,,,,,,12.9,,,,,,,,,2.38,,,,,,,,,,,,,,,,15.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minamiite,2.8,3.5,1.49,,,,,,,55.33,,,3.41,,19.99,,,15.84,,,0.97,2.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minasgeraisite-Y,4.25,6.5,,,,3.99,,,,35.39,,,,,,12.43,,,,,,8.87,,,,,,,,,,,,,,,,,,,39.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minasragrite,2.03,1.5,3.98,,,,,,,63.22,,,,,,,,12.67,,,,,,,20.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mineevite-Y,2.85,4.0,0.19,,,,,8.52,,40.09,1.8,,27.17,,,,,3.03,1.68,,,,,,,,,,,,,,,,,,,,,,5.04,,,,,,,,,,,,,,,,,6.49,,,,,,,,4.46,,1.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minehillite,2.93,4.0,0.32,,,,,,,42.52,,,0.14,0.05,2.48,23.12,,,,,1.55,23.03,,,,,0.11,0.12,,,,6.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minguzzite,2.11,,1.23,,,,,14.67,,48.85,,,,,,,,,,,23.88,,,,,,,11.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minium,8.2,2.75,,,,,,,,9.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minnesotaite,3.01,1.75,0.44,,,,,,,41.91,,,,2.65,,24.52,,,,,,,,,,,,30.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minrecordite,3.45,3.75,,,,,,10.65,,42.57,,,,,,,,,,,,17.77,,,,,,,,,,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minyulite,2.46,3.5,2.37,,,,,,,54.75,1.27,,,,14.48,,16.63,,,,10.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mirabilite,1.49,1.75,6.26,,,,,,,69.52,,,14.27,,,,,9.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Misenite,2.32,,0.61,,,,,,,45.19,,,,,,,,22.64,,,31.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miserite,2.88,5.75,0.26,,,,,,,40.2,1.12,,0.05,0.05,0.03,24.05,,,,,5.57,23.71,,0.05,,,0.18,0.24,,,,,,,,,,,,,1.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mitridatite,3.24,3.5,0.95,,,,,,,45.38,,,,,,,14.64,,,,,12.63,,,,,,26.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mitryaevaite,2.02,,3.91,,,,,,,61.13,4.47,,,,15.86,,12.75,1.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mitscherlichite,2.418,2.5,1.26,,,,,,,10.01,,,,,,,,,44.37,,24.47,,,,,,,,,,19.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mixite,3.8,3.75,1.04,,,,,,,28.89,,,,,,,,,,,,,,,,,,,,,32.78,,,,19.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moctezumite,5.73,3.0,,,,,,,,15.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.01,,,,,,,,,,28.73,,,,,,,,,,,,,,,,,,,,,,,,,,
Modderite,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,10.49,33.21,,,,,,56.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moeloite,,,,,,,,,,,,,,,,,,21.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moganite,,,,,,,,,,53.26,,,,,,46.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mogovidite,2.9,5.5,0.14,,,,,0.4,,41.06,,,7.4,,,21.98,,,0.53,,0.31,13.14,,0.14,,,0.54,3.75,,,,,,,,,,,,,,8.98,1.21,,,,,,,,,,,,,,,,0.14,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mohite,4.86,4.0,,,,,,,,,,,,,,,,28.13,,,,,,,,,,,,,37.16,,,,,,,,,,,,,,,,,,,,,34.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mohrite,1.83,2.25,5.140000000000001,,,,,,7.14,57.12,,,,,,,,16.35,,,,,,,,,,14.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moissanite,3.21,9.5,,,,,,29.96,,,,,,,,70.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moluranite,4.0,3.5,1.62,,,,,,,33.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.15,,,,,,,,,,,,,,,,,,,,,,,,,,
Molybdenite,5.5,1.0,,,,,,,,,,,,,,,,40.06,,,,,,,,,,,,,,,,,,,,,,,,,,59.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Molybdite,4.72,3.5,,,,,,,,33.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Molybdofornacite,6.6,2.5,0.13,,,,,,,19.03,,,,,,,0.78,,,,,,,,,1.32,,,,,8.04,,,,8.53,,,,,,,,,9.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Molybdomenite,7.07,3.5,,,,,,,,14.36,,,,,,,,,,,,,,,,,,,,,,,,,,23.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Molybdophyllite,4.7,3.5,0.77,,,,,,,24.55,,,,6.99,,8.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Molysite,2.904,,,,,,,,,,,,,,,,,,65.57,,,,,,,,,34.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monazite,5.15,5.25,,,,,,,,26.3,,,,,,0.8,11.8,,,,,0.64,,,,,,,,,,,,,,,,,,,1.57,,,,,,,,,,,,,,,,,,8.08,21.38,2.54,9.43,,2.76,0.1,2.22,0.35,0.8,,0.13,,,,,,,,,,,,,,0.28,,,,,,,,10.37,,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,
Monazite-Ce,5.15,5.25,,,,,,,,26.64,,,,,,,12.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.46,29.17,,12.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monazite-La,5.15,5.25,,,,,,,,26.68,,,,,,,12.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.95,14.6,,12.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monazite-Nd,5.15,5.25,,,,,,,,26.59,,,,,,2.92,9.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.43,11.64,,29.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monazite-Sm,,,,,,,,,,26.03,,,,,,,12.6,,,,,1.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.5,,6.52,,13.59,,14.21,,,,,,,,,,,,,,,,,,,,,,,,,,15.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moncheite,10.0,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.68,,,,,,40.83,,,,,,,,,,,,,,,,,,,,,,,,,,31.21,,,,,22.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monetite,2.929,3.5,0.74,,,,,,,47.04,,,,,,,22.77,,,,,29.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mongolite,3.14,2.0,1.34,,,,,,,41.53,,,,,,9.35,,,,,,10.67,,,,,,,,,,,,,,,,,,,,,37.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mongshanite,,5.5,,,,,,,,32.26,,,,4.9,,,,,,,,,,24.13,,5.24,,2.81,,,,,,,,,,,,,,30.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monimolite,6.61,5.25,,,,,,,,17.38,,,,,,,,,,,,4.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monipite,,,,,,,,,,,,,,,,,16.69,,,,,,,,,,,,,31.62,,,,,,,,,,,,,,51.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
